name	start	end	length	id	type	isfamily	isgroup	is_score	is_expected	is_frame	is_perc_of_orf	is_origin	-5tolessthan5	5tolessthan15	15tolessthan25	25tolessthan35	35tolessthan45	45tolessthan55	55tolessthan65	65tolessthan75	75tolessthan85	85tolessthan95	95tolessthan105	105tolessthan115	completeIS_0.95	6203891	6205549	1659	<unknown id>	ISAcma23_orf1 	ISL3	-	2902.0	0.0	(-1, 0)	0.993	Acaryochloris marina	1.0	0	0	0	0	0	0	0	0	0	0	1	0	is_name:ISAcma23_orf1 	original_orf:557	original_aa_length:553	family:ISL3	group:-	origin:Acaryochloris marina	ntlength:1810.0	orflength:557	numorfs:1.0	sbjct_start:1	sbjct_end:553	expected:0.0	score:2902.0	query_length:1676	query_start:3	identities:553	align_length:553	positives:553	query_end:1661	frame:(-1, 0)	bits:1122.46	mod_query_start:6203890	mod_query_end:6205548	perc_of_orf:0.993	
completeIS_0.95	6205709	6207367	1659	<unknown id>	ISAcma23_orf1 	ISL3	-	2902.0	0.0	(-1, 0)	0.993	Acaryochloris marina	1.0	0	0	0	0	0	0	0	0	0	0	2	0	is_name:ISAcma23_orf1 	original_orf:557	original_aa_length:553	family:ISL3	group:-	origin:Acaryochloris marina	ntlength:1810.0	orflength:557	numorfs:1.0	sbjct_start:1	sbjct_end:553	expected:0.0	score:2902.0	query_length:1676	query_start:3	identities:553	align_length:553	positives:553	query_end:1661	frame:(-1, 0)	bits:1122.46	mod_query_start:6205708	mod_query_end:6207366	perc_of_orf:0.993	
completeIS_0.95	791717	793297	1581	<unknown id>	ISAcma17_orf1 	IS5	IS5	2602.0	0.0	(3, 0)	1.0	Acaryochloris marina	1.0	0	0	0	0	0	0	0	0	0	0	3	0	is_name:ISAcma17_orf1 	original_orf:527	original_aa_length:527	family:IS5	group:IS5	origin:Acaryochloris marina	ntlength:1697.0	orflength:527	numorfs:1.0	sbjct_start:1	sbjct_end:527	expected:0.0	score:2602.0	query_length:1586	query_start:6	identities:526	align_length:527	positives:526	query_end:1586	frame:(3, 0)	bits:1006.9	mod_query_start:791716	mod_query_end:793296	perc_of_orf:1.0	
completeIS_0.95	2216366	2217946	1581	<unknown id>	ISAcma17_orf1 	IS5	IS5	2602.0	0.0	(3, 0)	1.0	Acaryochloris marina	1.0	0	0	0	0	0	0	0	0	0	0	4	0	is_name:ISAcma17_orf1 	original_orf:527	original_aa_length:527	family:IS5	group:IS5	origin:Acaryochloris marina	ntlength:1697.0	orflength:527	numorfs:1.0	sbjct_start:1	sbjct_end:527	expected:0.0	score:2602.0	query_length:1586	query_start:6	identities:526	align_length:527	positives:526	query_end:1586	frame:(3, 0)	bits:1006.9	mod_query_start:2216365	mod_query_end:2217945	perc_of_orf:1.0	
completeIS_0.95	4926701	4928281	1581	<unknown id>	ISAcma17_orf1 	IS5	IS5	2602.0	0.0	(3, 0)	1.0	Acaryochloris marina	1.0	0	0	0	0	0	0	0	0	0	0	5	0	is_name:ISAcma17_orf1 	original_orf:527	original_aa_length:527	family:IS5	group:IS5	origin:Acaryochloris marina	ntlength:1697.0	orflength:527	numorfs:1.0	sbjct_start:1	sbjct_end:527	expected:0.0	score:2602.0	query_length:1586	query_start:6	identities:526	align_length:527	positives:526	query_end:1586	frame:(3, 0)	bits:1006.9	mod_query_start:4926700	mod_query_end:4928280	perc_of_orf:1.0	
completeIS_0.95	5896004	5897584	1581	<unknown id>	ISAcma17_orf1 	IS5	IS5	2602.0	0.0	(3, 0)	1.0	Acaryochloris marina	1.0	0	0	0	0	0	0	0	0	0	0	6	0	is_name:ISAcma17_orf1 	original_orf:527	original_aa_length:527	family:IS5	group:IS5	origin:Acaryochloris marina	ntlength:1697.0	orflength:527	numorfs:1.0	sbjct_start:1	sbjct_end:527	expected:0.0	score:2602.0	query_length:1586	query_start:6	identities:526	align_length:527	positives:526	query_end:1586	frame:(3, 0)	bits:1006.9	mod_query_start:5896003	mod_query_end:5897583	perc_of_orf:1.0	
completeIS_0.95	6243719	6245299	1581	<unknown id>	ISAcma17_orf1 	IS5	IS5	2602.0	0.0	(3, 0)	1.0	Acaryochloris marina	1.0	0	0	0	0	0	0	0	0	0	0	7	0	is_name:ISAcma17_orf1 	original_orf:527	original_aa_length:527	family:IS5	group:IS5	origin:Acaryochloris marina	ntlength:1697.0	orflength:527	numorfs:1.0	sbjct_start:1	sbjct_end:527	expected:0.0	score:2602.0	query_length:1586	query_start:6	identities:526	align_length:527	positives:526	query_end:1586	frame:(3, 0)	bits:1006.9	mod_query_start:6243718	mod_query_end:6245298	perc_of_orf:1.0	
completeIS_0.95	520971	522548	1578	<unknown id>	ISAcma17_orf1 	IS5	IS5	2601.0	0.0	(-1, 0)	0.998	Acaryochloris marina	1.0	0	0	0	0	0	0	0	0	0	0	8	0	is_name:ISAcma17_orf1 	original_orf:527	original_aa_length:526	family:IS5	group:IS5	origin:Acaryochloris marina	ntlength:1697.0	orflength:527	numorfs:1.0	sbjct_start:1	sbjct_end:526	expected:0.0	score:2601.0	query_length:1586	query_start:3	identities:526	align_length:526	positives:526	query_end:1580	frame:(-1, 0)	bits:1006.51	mod_query_start:520970	mod_query_end:522547	perc_of_orf:0.998	
completeIS_0.95	482051	483628	1578	<unknown id>	ISAcma17_orf1 	IS5	IS5	2595.0	0.0	(-1, 0)	0.998	Acaryochloris marina	1.0	0	0	0	0	0	0	0	0	0	0	9	0	is_name:ISAcma17_orf1 	original_orf:527	original_aa_length:526	family:IS5	group:IS5	origin:Acaryochloris marina	ntlength:1697.0	orflength:527	numorfs:1.0	sbjct_start:1	sbjct_end:526	expected:0.0	score:2595.0	query_length:1586	query_start:3	identities:525	align_length:526	positives:525	query_end:1580	frame:(-1, 0)	bits:1004.2	mod_query_start:482050	mod_query_end:483627	perc_of_orf:0.998	
completeIS_0.95	3584249	3585826	1578	<unknown id>	ISAcma17_orf1 	IS5	IS5	2595.0	0.0	(-1, 0)	0.998	Acaryochloris marina	1.0	0	0	0	0	0	0	0	0	0	0	10	0	is_name:ISAcma17_orf1 	original_orf:527	original_aa_length:526	family:IS5	group:IS5	origin:Acaryochloris marina	ntlength:1697.0	orflength:527	numorfs:1.0	sbjct_start:1	sbjct_end:526	expected:0.0	score:2595.0	query_length:1586	query_start:3	identities:525	align_length:526	positives:525	query_end:1580	frame:(-1, 0)	bits:1004.2	mod_query_start:3584248	mod_query_end:3585825	perc_of_orf:0.998	
completeIS_0.95	6166353	6167930	1578	<unknown id>	ISAcma17_orf1 	IS5	IS5	2595.0	0.0	(-1, 0)	0.998	Acaryochloris marina	1.0	0	0	0	0	0	0	0	0	0	0	11	0	is_name:ISAcma17_orf1 	original_orf:527	original_aa_length:526	family:IS5	group:IS5	origin:Acaryochloris marina	ntlength:1697.0	orflength:527	numorfs:1.0	sbjct_start:1	sbjct_end:526	expected:0.0	score:2595.0	query_length:1586	query_start:3	identities:525	align_length:526	positives:525	query_end:1580	frame:(-1, 0)	bits:1004.2	mod_query_start:6166352	mod_query_end:6167929	perc_of_orf:0.998	
